Country,Happiness Rank,Happiness Score,GDP per Capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Year
Algeria,68,5.605,0.939,1.078,0.618,0.286,0.078,0.174,2015
Kosovo,69,5.589,0.801,0.812,0.631,0.247,0.283,0.047,2015
Turkmenistan,70,5.548,0.958,1.227,0.539,0.476,0.17,0.308,2015
Mauritius,71,5.477,1.008,0.985,0.71,0.561,0.377,0.075,2015
Hong Kong,72,5.474,1.386,1.058,1.013,0.596,0.395,0.371,2015
Estonia,73,5.429,1.152,1.228,0.774,0.449,0.087,0.152,2015
Indonesia,74,5.399,0.828,1.087,0.638,0.466,0.515,0.0,2015
Vietnam,75,5.36,0.632,0.912,0.747,0.594,0.169,0.104,2015
Turkey,76,5.332,1.061,0.946,0.732,0.228,0.123,0.157,2015
Kyrgyzstan,77,5.286,0.474,1.151,0.651,0.435,0.3,0.042,2015
Nigeria,78,5.268,0.654,0.904,0.16,0.343,0.272,0.04,2015
Bhutan,79,5.253,0.77,1.104,0.574,0.532,0.48,0.154,2015
Azerbaijan,80,5.212,1.024,0.938,0.64,0.37,0.078,0.161,2015
Pakistan,81,5.194,0.595,0.414,0.515,0.121,0.337,0.105,2015
Jordan,82,5.192,0.902,1.054,0.696,0.407,0.111,0.143,2015
Montenegro,82,5.192,0.974,0.906,0.725,0.183,0.161,0.143,2015
China,84,5.14,0.89,0.947,0.817,0.517,0.082,0.028,2015
Zambia,85,5.129,0.47,0.916,0.299,0.488,0.196,0.125,2015
Romania,86,5.124,1.043,0.886,0.769,0.351,0.137,0.006,2015
Serbia,87,5.123,0.921,1.01,0.748,0.201,0.192,0.026,2015
Portugal,88,5.102,1.16,1.139,0.875,0.515,0.137,0.011,2015
Latvia,89,5.098,1.113,1.096,0.724,0.297,0.182,0.063,2015
Philippines,90,5.073,0.705,1.035,0.581,0.625,0.25,0.123,2015
Somaliland region,91,5.057,0.188,0.952,0.439,0.466,0.503,0.399,2015
Morocco,92,5.013,0.735,0.641,0.61,0.417,0.072,0.085,2015
Macedonia,93,5.007,0.919,1.002,0.735,0.335,0.224,0.053,2015
Mozambique,94,4.971,0.083,1.026,0.091,0.34,0.223,0.156,2015
Albania,95,4.959,0.879,0.804,0.813,0.357,0.143,0.064,2015
Bosnia and Herzegovina,96,4.949,0.832,0.919,0.791,0.092,0.248,0.002,2015
Lesotho,97,4.898,0.375,1.041,0.076,0.318,0.164,0.125,2015
Dominican Republic,98,4.885,0.895,1.172,0.668,0.577,0.217,0.142,2015
Laos,99,4.876,0.591,0.738,0.549,0.596,0.422,0.242,2015
Mongolia,100,4.874,0.828,1.301,0.603,0.436,0.332,0.027,2015
Swaziland,101,4.867,0.712,1.073,0.076,0.307,0.183,0.031,2015
Greece,102,4.857,1.154,0.929,0.882,0.077,0.0,0.014,2015
Lebanon,103,4.839,1.026,0.8,0.839,0.339,0.219,0.046,2015
Hungary,104,4.8,1.121,1.202,0.759,0.321,0.128,0.028,2015
Honduras,105,4.788,0.595,0.953,0.695,0.401,0.23,0.068,2015
Tajikistan,106,4.786,0.39,0.856,0.574,0.472,0.23,0.151,2015
Tunisia,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064,2015
Palestinian Territories,108,4.715,0.599,0.926,0.66,0.245,0.113,0.129,2015
Bangladesh,109,4.694,0.398,0.431,0.602,0.408,0.212,0.126,2015
Iran,110,4.686,1.009,0.544,0.698,0.3,0.381,0.059,2015
Ukraine,111,4.681,0.799,1.203,0.674,0.251,0.153,0.03,2015
Iraq,112,4.677,0.985,0.819,0.602,0.0,0.179,0.138,2015
South Africa,113,4.642,0.92,1.185,0.277,0.332,0.12,0.089,2015
Ghana,114,4.633,0.546,0.68,0.401,0.423,0.231,0.044,2015
Zimbabwe,115,4.61,0.271,1.033,0.335,0.259,0.19,0.081,2015
Liberia,116,4.571,0.071,0.79,0.342,0.285,0.244,0.062,2015
India,117,4.565,0.645,0.382,0.515,0.398,0.265,0.085,2015
Sudan,118,4.55,0.521,1.014,0.369,0.101,0.191,0.147,2015
Haiti,119,4.518,0.267,0.743,0.388,0.244,0.462,0.172,2015
Congo (Kinshasa),120,4.517,0.0,1.001,0.098,0.226,0.248,0.076,2015
Nepal,121,4.514,0.36,0.864,0.569,0.383,0.323,0.059,2015
Ethiopia,122,4.512,0.191,0.604,0.441,0.434,0.243,0.15,2015
Sierra Leone,123,4.507,0.33,0.956,0.0,0.408,0.215,0.088,2015
Mauritania,124,4.436,0.454,0.869,0.359,0.242,0.219,0.175,2015
Kenya,125,4.419,0.365,0.999,0.414,0.422,0.375,0.058,2015
Djibouti,126,4.369,0.44,0.592,0.363,0.461,0.181,0.281,2015
Armenia,127,4.35,0.768,0.777,0.73,0.198,0.079,0.039,2015
Botswana,128,4.332,0.994,1.105,0.048,0.495,0.105,0.125,2015
Myanmar,129,4.307,0.271,0.709,0.482,0.44,0.796,0.19,2015
Georgia,130,4.297,0.742,0.386,0.729,0.406,0.055,0.383,2015
Malawi,131,4.292,0.016,0.411,0.226,0.431,0.331,0.07,2015
Sri Lanka,132,4.271,0.835,1.019,0.708,0.537,0.408,0.092,2015
Cameroon,133,4.252,0.422,0.888,0.234,0.493,0.206,0.058,2015
Bulgaria,134,4.218,1.012,1.106,0.766,0.306,0.119,0.009,2015
Egypt,135,4.194,0.882,0.747,0.617,0.173,0.113,0.063,2015
Yemen,136,4.077,0.546,0.681,0.401,0.356,0.091,0.079,2015
Angola,137,4.033,0.758,0.86,0.167,0.104,0.123,0.071,2015
Mali,138,3.995,0.261,1.035,0.206,0.389,0.188,0.124,2015
Congo (Brazzaville),139,3.989,0.679,0.663,0.311,0.415,0.124,0.117,2015
Comoros,140,3.956,0.239,0.793,0.363,0.229,0.174,0.199,2015
Uganda,141,3.931,0.211,1.133,0.339,0.457,0.291,0.073,2015
Senegal,142,3.904,0.365,0.976,0.435,0.368,0.208,0.107,2015
Gabon,143,3.896,1.06,0.905,0.434,0.319,0.068,0.111,2015
Niger,144,3.845,0.069,0.773,0.297,0.477,0.194,0.156,2015
Cambodia,145,3.819,0.46,0.627,0.611,0.662,0.404,0.072,2015
Tanzania,146,3.781,0.285,1.003,0.382,0.329,0.344,0.057,2015
Madagascar,147,3.681,0.208,0.668,0.467,0.192,0.213,0.081,2015
Central African Republic,148,3.678,0.078,0.0,0.067,0.489,0.238,0.083,2015
Chad,149,3.667,0.342,0.761,0.15,0.235,0.184,0.053,2015
Guinea,150,3.656,0.174,0.465,0.24,0.377,0.287,0.121,2015
Ivory Coast,151,3.655,0.465,0.771,0.152,0.469,0.202,0.179,2015
Burkina Faso,152,3.587,0.258,0.852,0.271,0.395,0.217,0.128,2015
Afghanistan,153,3.575,0.32,0.303,0.303,0.234,0.365,0.097,2015
Rwanda,154,3.465,0.222,0.774,0.429,0.592,0.226,0.552,2015
Benin,155,3.34,0.287,0.354,0.319,0.484,0.183,0.08,2015
Syria,156,3.006,0.663,0.475,0.722,0.157,0.472,0.189,2015
Burundi,157,2.905,0.015,0.416,0.224,0.118,0.197,0.101,2015
Togo,158,2.839,0.209,0.14,0.284,0.365,0.167,0.107,2015
Denmark,1,7.526,1.442,1.164,0.795,0.579,0.362,0.445,2016
Switzerland,2,7.509,1.527,1.145,0.863,0.586,0.281,0.412,2016
Iceland,3,7.501,1.427,1.183,0.867,0.566,0.477,0.15,2016
Norway,4,7.498,1.577,1.127,0.796,0.596,0.379,0.358,2016
Finland,5,7.413,1.406,1.135,0.811,0.571,0.255,0.41,2016
Canada,6,7.404,1.44,1.096,0.828,0.574,0.448,0.313,2016
Netherlands,7,7.339,1.465,1.029,0.812,0.552,0.474,0.299,2016
New Zealand,8,7.334,1.361,1.173,0.831,0.581,0.494,0.419,2016
Australia,9,7.313,1.444,1.105,0.851,0.568,0.474,0.323,2016
Sweden,10,7.291,1.452,1.088,0.831,0.582,0.383,0.409,2016
Israel,11,7.267,1.338,0.995,0.849,0.364,0.323,0.087,2016
Austria,12,7.119,1.45,1.084,0.806,0.544,0.329,0.213,2016
United States,13,7.104,1.508,1.048,0.779,0.482,0.411,0.149,2016
Costa Rica,14,7.087,1.069,1.022,0.761,0.552,0.226,0.105,2016
Puerto Rico,15,7.039,1.359,1.081,0.778,0.468,0.222,0.123,2016
Germany,16,6.994,1.448,1.098,0.815,0.535,0.305,0.286,2016
Brazil,17,6.952,1.088,1.039,0.614,0.404,0.158,0.142,2016
Belgium,18,6.929,1.425,1.052,0.82,0.514,0.242,0.262,2016
Ireland,19,6.907,1.483,1.162,0.815,0.54,0.45,0.298,2016
Luxembourg,20,6.871,1.698,1.04,0.845,0.549,0.276,0.353,2016
Mexico,21,6.778,1.115,0.715,0.711,0.377,0.117,0.184,2016
Singapore,22,6.739,1.646,0.868,0.947,0.488,0.327,0.47,2016
United Kingdom,23,6.725,1.403,1.087,0.81,0.5,0.502,0.274,2016
Chile,24,6.705,1.217,0.906,0.819,0.378,0.316,0.115,2016
Panama,25,6.701,1.183,0.989,0.708,0.489,0.242,0.084,2016
Argentina,26,6.65,1.151,1.066,0.697,0.423,0.11,0.073,2016
Czech Republic,27,6.596,1.309,1.008,0.764,0.414,0.099,0.04,2016
United Arab Emirates,28,6.573,1.574,0.871,0.73,0.562,0.266,0.356,2016
Uruguay,29,6.545,1.182,1.031,0.722,0.544,0.181,0.214,2016
Malta,30,6.488,1.308,1.099,0.803,0.55,0.562,0.176,2016
Colombia,31,6.481,1.03,1.022,0.597,0.447,0.156,0.054,2016
France,32,6.478,1.395,1.005,0.838,0.466,0.122,0.178,2016
Thailand,33,6.474,1.089,1.045,0.649,0.496,0.587,0.028,2016
Saudi Arabia,34,6.379,1.49,0.848,0.593,0.379,0.155,0.3,2016
Taiwan,34,6.379,1.397,0.926,0.796,0.324,0.255,0.066,2016
Qatar,36,6.375,1.824,0.88,0.717,0.567,0.324,0.48,2016
Spain,37,6.361,1.343,1.129,0.879,0.375,0.177,0.061,2016
Algeria,38,6.355,1.053,0.833,0.618,0.21,0.07,0.162,2016
Guatemala,39,6.324,0.835,0.871,0.54,0.504,0.288,0.087,2016
Suriname,40,6.269,1.097,0.779,0.509,0.522,0.167,0.127,2016
Kuwait,41,6.239,1.617,0.878,0.636,0.432,0.16,0.237,2016
Bahrain,42,6.218,1.44,0.944,0.657,0.474,0.171,0.258,2016
Trinidad and Tobago,43,6.168,1.326,0.986,0.526,0.485,0.319,0.012,2016
Venezuela,44,6.084,1.134,1.033,0.619,0.198,0.042,0.083,2016
Slovakia,45,6.078,1.28,1.083,0.704,0.234,0.138,0.029,2016
El Salvador,46,6.068,0.874,0.81,0.596,0.373,0.089,0.106,2016
Malaysia,47,6.005,1.251,0.88,0.624,0.39,0.415,0.091,2016
Nicaragua,48,5.992,0.694,0.895,0.652,0.466,0.298,0.163,2016
Uzbekistan,49,5.987,0.736,1.168,0.502,0.608,0.343,0.283,2016
Italy,50,5.977,1.355,1.042,0.851,0.188,0.167,0.026,2016
Ecuador,51,5.976,0.973,0.86,0.686,0.403,0.101,0.18,2016
Belize,52,5.956,0.876,0.687,0.456,0.512,0.237,0.108,2016
Japan,53,5.921,1.38,1.061,0.915,0.468,0.102,0.19,2016
Kazakhstan,54,5.919,1.229,0.955,0.574,0.405,0.15,0.111,2016
Moldova,55,5.897,0.692,0.831,0.523,0.252,0.2,0.019,2016
Russia,56,5.856,1.232,1.053,0.59,0.327,0.027,0.036,2016
Poland,57,5.835,1.246,1.047,0.691,0.452,0.144,0.055,2016
South Korea,57,5.835,1.359,0.722,0.886,0.252,0.188,0.077,2016
Bolivia,59,5.822,0.794,0.838,0.47,0.51,0.217,0.077,2016
Lithuania,60,5.813,1.269,1.064,0.647,0.189,0.02,0.018,2016
Belarus,61,5.802,1.131,1.05,0.631,0.291,0.139,0.175,2016
North Cyprus,62,5.771,1.311,0.818,0.841,0.436,0.263,0.166,2016
Slovenia,63,5.768,1.299,1.056,0.792,0.532,0.257,0.036,2016
Peru,64,5.743,0.996,0.813,0.63,0.375,0.145,0.053,2016
Turkmenistan,65,5.658,1.08,1.038,0.44,0.374,0.226,0.285,2016
Mauritius,66,5.648,1.144,0.757,0.662,0.461,0.37,0.052,2016
Libya,67,5.615,1.067,0.951,0.523,0.407,0.171,0.103,2016
Latvia,68,5.56,1.218,0.95,0.64,0.28,0.174,0.089,2016
Cyprus,69,5.546,1.319,0.707,0.849,0.295,0.279,0.052,2016
Paraguay,70,5.538,0.894,1.111,0.583,0.462,0.253,0.074,2016
Romania,71,5.528,1.17,0.728,0.676,0.367,0.129,0.007,2016
Estonia,72,5.517,1.28,1.052,0.681,0.415,0.084,0.185,2016
Jamaica,73,5.51,0.893,0.964,0.595,0.436,0.222,0.043,2016
Croatia,74,5.488,1.186,0.608,0.705,0.239,0.184,0.04,2016
Hong Kong,75,5.458,1.511,0.87,0.953,0.481,0.401,0.316,2016
Somalia,76,5.44,0.0,0.336,0.115,0.568,0.272,0.312,2016
Kosovo,77,5.401,0.901,0.661,0.54,0.144,0.28,0.065,2016
Turkey,78,5.389,1.165,0.877,0.647,0.239,0.047,0.123,2016
Indonesia,79,5.314,0.951,0.876,0.494,0.392,0.565,0.003,2016
Jordan,80,5.303,0.997,0.862,0.607,0.36,0.143,0.133,2016
Azerbaijan,81,5.291,1.124,0.76,0.545,0.353,0.056,0.179,2016
Philippines,82,5.279,0.812,0.879,0.47,0.549,0.217,0.118,2016
China,83,5.245,1.028,0.794,0.736,0.44,0.05,0.027,2016
Bhutan,84,5.196,0.853,0.908,0.498,0.461,0.485,0.162,2016
Kyrgyzstan,85,5.185,0.56,0.954,0.554,0.402,0.384,0.048,2016
Serbia,86,5.177,1.034,0.813,0.646,0.157,0.207,0.043,2016
Bosnia and Herzegovina,87,5.163,0.934,0.644,0.708,0.095,0.299,0.0,2016
Montenegro,88,5.161,1.078,0.742,0.635,0.151,0.172,0.127,2016
Dominican Republic,89,5.155,1.028,0.995,0.577,0.523,0.213,0.124,2016
Morocco,90,5.151,0.841,0.386,0.595,0.256,0.041,0.084,2016
Hungary,91,5.145,1.241,0.932,0.676,0.198,0.099,0.045,2016
Pakistan,92,5.132,0.688,0.261,0.403,0.146,0.312,0.139,2016
Lebanon,93,5.129,1.123,0.642,0.762,0.262,0.237,0.031,2016
Portugal,94,5.123,1.276,0.944,0.794,0.447,0.117,0.015,2016
Macedonia,95,5.121,1.019,0.782,0.647,0.277,0.235,0.07,2016
Vietnam,96,5.061,0.74,0.791,0.662,0.56,0.251,0.116,2016
Somaliland Region,97,5.057,0.256,0.759,0.331,0.391,0.515,0.368,2016
Tunisia,98,5.045,0.977,0.432,0.596,0.236,0.039,0.082,2016
Greece,99,5.033,1.249,0.755,0.8,0.058,0.0,0.041,2016
Tajikistan,100,4.996,0.488,0.756,0.531,0.434,0.26,0.135,2016
Mongolia,101,4.907,0.989,1.09,0.555,0.36,0.345,0.033,2016
Laos,102,4.876,0.68,0.55,0.383,0.522,0.431,0.224,2016
Nigeria,103,4.875,0.752,0.645,0.051,0.279,0.232,0.03,2016
Honduras,104,4.871,0.694,0.756,0.584,0.268,0.204,0.069,2016
Iran,105,4.813,1.118,0.389,0.642,0.225,0.385,0.056,2016
Zambia,106,4.795,0.612,0.638,0.236,0.427,0.179,0.115,2016
Nepal,107,4.793,0.446,0.697,0.501,0.37,0.382,0.07,2016
Palestinian Territories,108,4.754,0.67,0.716,0.568,0.177,0.112,0.106,2016
Albania,109,4.655,0.955,0.502,0.73,0.319,0.168,0.053,2016
Bangladesh,110,4.643,0.542,0.247,0.53,0.398,0.191,0.126,2016
Sierra Leone,111,4.635,0.365,0.628,0.0,0.307,0.239,0.082,2016
Iraq,112,4.575,1.075,0.592,0.511,0.249,0.196,0.136,2016
Namibia,113,4.574,0.933,0.704,0.347,0.486,0.078,0.104,2016
Cameroon,114,4.513,0.525,0.625,0.127,0.427,0.227,0.061,2016
Ethiopia,115,4.508,0.293,0.379,0.346,0.367,0.295,0.172,2016
South Africa,116,4.459,1.024,0.961,0.186,0.425,0.137,0.084,2016
Sri Lanka,117,4.415,0.973,0.848,0.62,0.508,0.47,0.08,2016
India,118,4.404,0.74,0.292,0.451,0.403,0.25,0.087,2016
Myanmar,119,4.395,0.341,0.7,0.399,0.427,0.82,0.202,2016
Egypt,120,4.362,0.954,0.498,0.521,0.188,0.127,0.104,2016
Armenia,121,4.36,0.861,0.625,0.641,0.14,0.078,0.036,2016
Kenya,122,4.356,0.523,0.762,0.301,0.406,0.413,0.067,2016
Ukraine,123,4.324,0.873,1.014,0.586,0.129,0.204,0.018,2016
Ghana,124,4.276,0.631,0.494,0.297,0.41,0.212,0.033,2016
Congo (Kinshasa),125,4.272,0.057,0.807,0.188,0.156,0.255,0.061,2016
Georgia,126,4.252,0.838,0.192,0.64,0.325,0.068,0.319,2016
Congo (Brazzaville),127,4.236,0.771,0.478,0.282,0.379,0.121,0.098,2016
Senegal,128,4.219,0.443,0.774,0.405,0.311,0.191,0.117,2016
Bulgaria,129,4.217,1.113,0.925,0.678,0.212,0.128,0.006,2016
Mauritania,130,4.201,0.614,0.841,0.286,0.127,0.227,0.18,2016
Zimbabwe,131,4.193,0.35,0.715,0.16,0.254,0.185,0.086,2016
Malawi,132,4.156,0.087,0.147,0.294,0.414,0.31,0.076,2016
Sudan,133,4.139,0.631,0.819,0.298,0.0,0.181,0.1,2016
Gabon,134,4.121,1.159,0.724,0.349,0.281,0.062,0.093,2016
Mali,135,4.073,0.313,0.863,0.163,0.275,0.211,0.136,2016
Haiti,136,4.028,0.341,0.296,0.275,0.121,0.48,0.145,2016
Botswana,137,3.974,1.094,0.892,0.348,0.441,0.124,0.108,2016
Comoros,138,3.956,0.275,0.603,0.3,0.154,0.183,0.184,2016
Ivory Coast,139,3.916,0.555,0.576,0.045,0.407,0.203,0.155,2016
Cambodia,140,3.907,0.556,0.538,0.425,0.589,0.403,0.081,2016
Angola,141,3.866,0.847,0.664,0.05,0.006,0.121,0.084,2016
Niger,142,3.856,0.133,0.605,0.262,0.38,0.21,0.172,2016
South Sudan,143,3.832,0.394,0.185,0.158,0.197,0.259,0.13,2016
Chad,144,3.763,0.422,0.632,0.038,0.128,0.187,0.05,2016
Burkina Faso,145,3.739,0.32,0.631,0.213,0.334,0.244,0.125,2016
Uganda,145,3.739,0.347,0.91,0.196,0.437,0.271,0.064,2016
Yemen,147,3.724,0.579,0.475,0.31,0.229,0.098,0.059,2016
Madagascar,148,3.695,0.28,0.461,0.371,0.137,0.22,0.075,2016
Tanzania,149,3.666,0.472,0.776,0.357,0.318,0.315,0.051,2016
Liberia,150,3.622,0.107,0.504,0.232,0.257,0.241,0.049,2016
Guinea,151,3.607,0.224,0.311,0.188,0.31,0.299,0.119,2016
Rwanda,152,3.515,0.328,0.616,0.319,0.543,0.236,0.505,2016
Benin,153,3.484,0.395,0.104,0.21,0.397,0.202,0.067,2016
Afghanistan,154,3.36,0.382,0.11,0.173,0.164,0.313,0.071,2016
Togo,155,3.303,0.281,0.0,0.248,0.347,0.175,0.116,2016
Syria,156,3.069,0.747,0.149,0.63,0.069,0.484,0.172,2016
Burundi,157,2.905,0.068,0.234,0.157,0.043,0.203,0.094,2016
Norway,1,7.537,1.616,1.534,0.797,0.635,0.362,0.316,2017
Denmark,2,7.522,1.482,1.551,0.793,0.626,0.355,0.401,2017
Iceland,3,7.504,1.481,1.611,0.834,0.627,0.476,0.154,2017
Switzerland,4,7.494,1.565,1.517,0.858,0.62,0.291,0.367,2017
Finland,5,7.469,1.444,1.54,0.809,0.618,0.245,0.383,2017
Netherlands,6,7.377,1.504,1.429,0.811,0.585,0.47,0.283,2017
Canada,7,7.316,1.479,1.481,0.835,0.611,0.436,0.287,2017
New Zealand,8,7.314,1.406,1.548,0.817,0.614,0.5,0.383,2017
Sweden,9,7.284,1.494,1.478,0.831,0.613,0.385,0.384,2017
Australia,10,7.284,1.484,1.51,0.844,0.602,0.478,0.301,2017
Israel,11,7.213,1.375,1.376,0.838,0.406,0.33,0.085,2017
Costa Rica,12,7.079,1.11,1.416,0.76,0.58,0.215,0.1,2017
Austria,13,7.006,1.487,1.46,0.815,0.568,0.316,0.221,2017
United States,14,6.993,1.546,1.42,0.774,0.506,0.393,0.136,2017
Ireland,15,6.977,1.536,1.558,0.81,0.573,0.428,0.298,2017
Germany,16,6.951,1.488,1.473,0.799,0.563,0.336,0.277,2017
Belgium,17,6.891,1.464,1.462,0.818,0.54,0.232,0.251,2017
Luxembourg,18,6.863,1.742,1.458,0.845,0.597,0.283,0.319,2017
United Kingdom,19,6.714,1.442,1.496,0.805,0.508,0.493,0.265,2017
Chile,20,6.652,1.253,1.284,0.819,0.377,0.327,0.082,2017
United Arab Emirates,21,6.648,1.626,1.266,0.727,0.608,0.361,0.324,2017
Brazil,22,6.635,1.107,1.431,0.617,0.437,0.162,0.111,2017
Czech Republic,23,6.609,1.353,1.434,0.754,0.491,0.088,0.037,2017
Argentina,24,6.599,1.185,1.44,0.695,0.495,0.109,0.06,2017
Mexico,25,6.578,1.153,1.211,0.71,0.413,0.121,0.133,2017
Singapore,26,6.572,1.692,1.354,0.949,0.55,0.346,0.464,2017
Malta,27,6.527,1.343,1.488,0.822,0.589,0.575,0.153,2017
Uruguay,28,6.454,1.218,1.412,0.719,0.579,0.175,0.178,2017
Guatemala,29,6.454,0.872,1.256,0.54,0.531,0.283,0.077,2017
Panama,30,6.452,1.234,1.373,0.706,0.55,0.211,0.071,2017
France,31,6.442,1.431,1.388,0.844,0.47,0.13,0.173,2017
Thailand,32,6.424,1.128,1.426,0.647,0.58,0.572,0.032,2017
Taiwan Province of China,33,6.422,1.434,1.385,0.794,0.361,0.258,0.064,2017
Spain,34,6.403,1.384,1.532,0.889,0.409,0.19,0.071,2017
Qatar,35,6.375,1.871,1.274,0.71,0.604,0.33,0.439,2017
Colombia,36,6.357,1.071,1.402,0.595,0.477,0.149,0.047,2017
Saudi Arabia,37,6.344,1.531,1.287,0.59,0.45,0.148,0.273,2017
Trinidad and Tobago,38,6.168,1.361,1.38,0.52,0.519,0.325,0.009,2017
Kuwait,39,6.105,1.633,1.26,0.632,0.496,0.228,0.215,2017
Slovakia,40,6.098,1.325,1.505,0.713,0.296,0.137,0.024,2017
Bahrain,41,6.087,1.488,1.323,0.653,0.537,0.173,0.257,2017
Malaysia,42,6.084,1.291,1.285,0.619,0.402,0.417,0.066,2017
Nicaragua,43,6.071,0.737,1.287,0.653,0.448,0.302,0.131,2017
Ecuador,44,6.008,1.001,1.286,0.686,0.455,0.15,0.14,2017
